ID,screentest,lat,lon,sido,sigungu,centername,address,telephone
139,O,37.448019,126.730424,인천,남동구,남동구보건소,인천시 남동구 소래로 633,032-466-3808
140,O,37.477736,126.648717,인천,동구,의료법인성수의료재단인천백병원,동구 샛골로 214,032-765-7070
141,O,35.888171,128.651196,인천,동구,동구보건소,동구 석수로 90,032-770-5700
142,O,37.461584,126.64299,인천,미추홀구,현대유비스 병원,미추홀구 독배로 503,032-890-5509
143,O,37.461126,126.677374,인천,미추홀구,미추홀구보건소,인천시 미추홀구 주안서로 25,032-880-5311
144,O,37.462388,126.680709,인천,미추홀구,인천사랑병원,미추홀구 미추홀대로 726,032-457-2000
145,O,37.48487,126.724888,인천,부평구,가톨릭대학교 인천성모병원,부평구 동수로 56,1544-9004
146,O,37.507175,126.72008,인천,부평구,부평세림병원,부평구 부평대로 175,032-524-0591
147,O,37.47662,126.753682,인천,부평구,근로복지공단 인천병원,부평구 무네미로 446,032-500-0114
148,O,37.498891,126.724257,인천,부평구,부평구보건소,인천시 부평구 부흥로 291,032-509-8200
149,O,37.542276,126.68362,인천,서구,국제성모병원,서구 심곡로 100번길 25,1600-8291
150,O,37.489042,126.679717,인천,서구,나은병원,서구 원적로 23,032-584-0114
151,O,37.509362,126.66974,인천,서구,성민병원,서구 신석로 70,032-726-1119
152,O,37.59266,126.671082,인천,서구,검단탑병원,서구 청마로 19번길 5,032-590-0114
153,O,37.602729,126.654316,인천,서구,온누리병원,서구 완정로 199,032-568-9111
154,O,37.544459,126.673894,인천,서구,서구보건소,인천시 서구 탁옥로 39,032-560-5000
155,O,37.40806,126.670504,인천,연수구,나사렛 국제병원,연수구 먼우금로 98,032-899-9999
156,O,37.419053,126.671061,인천,연수구,연수구보건소,인천시 연수구 함박뫼로 13,032-749-8000
157,O,37.418317,126.689557,인천,연수구,인천적십자병원,인천시 연수구 원인재로 263,032-899-4287
158,O,37.446696,126.636779,인천,옹진군,옹진군보건소,인천시 미추홀구 매소홀로 120,032-899-3120
159,O,37.968011,124.721089,인천,옹진군,백령병원,옹진군 백령면 백령로 233,032-836-1731
160,O,37.471166,126.631993,인천,중구,인천기독병원,중구 답동로 30번길 10,032-270-8000
161,O,37.477318,126.628857,인천,중구,중구보건소,인천시 중구 참외전로72번길 21,032-760-6050
162,O,37.444124,126.402577,인천,중구,중구보건소 용유지소,인천시 중구 마시란로 308-1,032-760-8991
163,O,37.49399,126.531251,인천,중구,영종보건지소,인천시 중구 운남서로 100-1,032-760-6800
164,O,35.140262,126.793666,광주,광산구,광산구보건소,광주광역시 광산구 광산로29번길 15 (송정동),062-960-8859
165,O,35.221089,126.845254,광주,광산구,첨단종합병원,광주광역시 광산구 첨단중앙로170번길 59 (쌍암동),"주 062-601-8771
야 062-601-8119"
166,O,35.197963,126.833157,광주,광산구,KS병원,광주광역시 광산구 왕버들로220,062-975-9119
167,O,35.136748,126.912124,광주,남구,광주기독병원,광주광역시 남구 양림로 37 (양림동),062-650-5119
168,O,35.132859,126.902497,광주,남구,남구보건소,"광주광역시 남구 봉선로 1 (주월동, 남구청)",062-607-4450
169,O,35.145621,126.923206,광주,동구,동구보건소,광주광역시 동구 서남로 1 (서석동),062-608-3312
170,X,35.202902,126.897631,광주,북구,광주일곡병원,광주광역시 북구 양일로 309 (일곡동),062-608-7119
171,O,35.173487,126.912126,광주,북구,북구보건소,광주광역시 북구 우치로 65 (중흥동),062-410-8961
172,O,35.132711,126.855601,광주,서구,서광병원,광주광역시 서구 금화로59번길 6 (금호동),"062-600-8119, 8161"
173,O,36.367109,127.381075,광주,서구,서구보건소,광주광역시 서구 경열로 33 (농성동),062-350-4158
174,O,36.445035,127.42601,대전,대덕구,대덕구보건소, 대전광역시 대덕구 석봉로 38길 55,042-608-5436~40
175,O,36.447234,127.439646,대전,대덕구,대전보훈병원,"대전광역시 대덕구 대청로82번길 147 (신탄진동,147)","042-939-0118, 0100"
176,O,36.368536,127.428418,대전,대덕구,근로복지공단 대전병원,대덕구 계족로 637,"(주)042-670-5406
(야)042-670-5119"
177,O,36.312102,127.454856,대전,동구,동구보건소,대전광역시 동구 동구청로147(가오동),042-251-6305
178,O,36.34821,127.435792,대전,동구,대전한국병원,대전광역시 동구 동서대로 1672 ,042-606-1500
179,O,36.367058,127.381063,대전,서구,서구보건소, 대전광역시 서구 만년로74,042-288-4500
180,O,36.306618,127.342583,대전,서구,건양대학교병원,"대전광역시 서구 관저동로 158 (관저동,(관저동))",042-600-9999
181,O,36.355295,127.381975,대전,서구,을지대학교병원,"대전광역시 서구 둔산서로 95 (둔산동,(둔산동))",042-259-1060
182,O,36.35812,127.33544,대전,유성구,유성구보건소,대전광역시 유성구 유성대로730번길51,042-611-5047
183,O,36.375101,127.324961,대전,유성구,유성선병원,"대전광역시 유성구 북유성대로 93 (지족동,(지족동))",042-609-1000
184,O,36.308027,127.395092,대전,중구,중구보건소,대전광역시 중구 산성로 63,042-288-8043
185,O,36.336123,127.41018,대전,중구,대전선병원,"대전광역시 중구 목중로 29 (목동,(목동))",042-220-8114
186,O,36.322045,127.420363,대전,중구,대전성모병원,"대전광역시 중구 대흥로 64 (대흥동,(대흥동))",042-220-9114
187,O,35.546829,129.322644,울산,남구,울산병원,울산광역시 남구 월평로171번길 13 (신정동),052-259-5000
188,O,35.553022,129.269048,울산,남구,좋은삼정병원,울산광역시 남구 북부순환도로 51 (무거동),052-220-7500
189,O,35.531532,129.3052,울산,남구,"의)정안의료재단
중앙병원",울산광역시 남구 문수로480번길 10 (신정동),052-226-1100
190,O,35.545394,129.336288,울산,남구,남구보건소,"울산광역시 남구 삼산중로 132 (삼산동, 울산남구보건소)",052-226-2805
191,O,35.506644,129.417982,울산,동구,동구보건소,울산광역시 동구 봉수로 155 (화정동),052-209-4080
192,O,35.582982,129.359248,울산,북구,울산시티병원,울산광역시 북구 산업로 1007 (연암동),052-280-9000
193,O,35.580694,129.362811,울산,북구,북구보건소,울산광역시 북구 산업로 1018 (연암동),052-289-3450
194,O,35.559831,129.120863,울산,울주군,서울산보람병원,울산광역시 울주군 삼남면 중평로 53,052-255-7114
195,O,35.558415,129.113706,울산,울주군,울주군보건소,울산광역시 울주군 삼남면 서향교1길 67-12,052-265-9095
196,O,35.455321,129.290746,울산,울주군,남부통합보건지소,울주군 온양읍 터실1길 13,052-204-2818
197,O,35.553424,129.302071,울산,중구,동강병원,울산광역시 중구 태화로 239 (태화동),052-241-1114
198,O,35.569516,129.350384,울산,중구,중구보건소,울산광역시 중구 외솔큰길 225 (남외동),052-290-4300
199,O,36.605575,127.296351,세종,,세종특별자치시보건소,세종특별자치시 조치원읍 건강길 16,044-301-2841~5
200,O,36.494889,127.265657,세종,,세종특별자치시보건소(충남대학교병원세종의원),세종특별자치시 가름로 238-1,044-301-2841~5
201,O,37.833427,127.510582,경기,가평군,가평군보건소,경기도 가평군 가평읍 가화로 155-18,031-582-2488
202,O,37.691104,127.521364,경기,가평군,HJ매그놀리아국제병원,경기도 가평군 설악면 미사리로 267-177,031-589-4300
203,O,37.657815,126.831143,경기,고양시,덕양구 보건소,경기도 고양시 덕양구 원당로33번길 28 (주교동),031-8075-4059
204,O,37.655943,126.776105,경기,고양시,일산동구보건소,"경기도 고양시 일산동구 중앙로 1228 (마두동,KT고양지사 일산동구보건소)",031-8075-4135
205,O,37.684425,126.775824,경기,고양시,일산서구보건소,경기도 고양시 일산서구 일중로 54 (일산동),031-8075-4212
206,O,37.674282,126.75035,경기,고양시,인제대학교 일산백병원,고양시 일산서구 주화로 170,031-910-7297
207,O,37.676352,126.806682,경기,고양시,동국대학교일산불교병원,고양시 일산동구 동국로 27(식사동),031-961-8010
208,O,37.645502,126.793034,경기,고양시,국민건강보험공단 일산병원,경기도 고양시 일산동구 일산로 100,031-900-0114
209,O,37.68189,126.780169,경기,고양시,일산복음병원,경기도 고양시 일산동구 고양대로760,"031-929-0330,0331"
210,O,37.429819,126.986979,경기,과천시,과천시보건소,경기도 과천시 관문로69,02-2150-3832
211,X,37.473495,126.871844,경기,광명시,광명성애병원,"경기도 광명시 디지털로 36 (철산동, 광명성애병원)",02-2680-7115
212,O,37.456356,126.87855,경기,광명시,광명시보건소,"경기도 광명시 오리로 613 (하안동, 광명시보건소)",02-2680-2577 
213,O,37.416389,127.250687,경기,광주시,광주시보건소,경기도 광주시 파발로 194,031-760-2359
214,X,37.411028,127.26014,경기,광주시,참조은병원,경기도 광주시 광주대로 45,031-881-9285
215,O,37.60468,127.145059,경기,구리시,구리시보건소,"경기도 구리시 건원대로34번길 84 (인창동, 구리보건소)",031-550-8618
216,O,37.601217,127.132402,경기,구리시,한양대학교구리병원,경기도 구리시 경춘로 153 (교문동),1644-9118
217,O,37.358669,126.947339,경기,군포시,효신의료재단 지샘병원,"경기도 군포시 군포로 591 (당동, (G샘병원)군포샘병원)",031-389-3000
218,O,37.35935,126.933589,경기,군포시,원광대학교 산본병원,경기도 군포시 산본로 321 (산본동),031-390-2300
219,O,37.36515,126.933148,경기,군포시,군포시보건소,경기도 군포시 군포로 221 (부곡동),031-461-5464
220,O,37.63237,126.710716,경기,김포시,김포우리병원,"경기도 김포시 감암로 11, 김포우리병원 (걸포동)",031-999-1000
221,O,37.641065,126.65981,경기,김포시,뉴고려병원,"경기도 김포시 김포한강3로 283, 뉴고려병원 (장기동)",031-998-8129
222,O,37.62369,126.722921,경기,김포시,김포시보건소,경기도 김포시 사우중로 108 (사우동),031-980-5052
223,O,37.635578,127.216113,경기,남양주시,남양주보건소,경기도 남양주시 경춘로 1037 (금곡동),031-590-4454
224,O,37.710694,127.188508,경기,남양주시,남양주풍양보건소,경기도 남양주시 진접읍 해밀예당1로 30-39,031-590-6956
225,O,37.682404,127.204411,경기,남양주시,남양주한양병원,경기도 남양주시 오남읍 양지로 47-55,"031-510-0114, 031-510-0119"
226,O,37.715805,127.179675,경기,남양주시,현대병원,경기도 남양주시 진접읍 봉현로 21,031-574-9118
227,O,37.896596,127.051654,경기,동두천시,동두천보건소,경기도 동두천시 중앙로 167 (생연동),031-860-3395
228,O,37.494177,126.78101,경기,부천시,부천시보건소,경기도 부천시 옥산로10번길 16,032-625-4125
229,X,37.528135,126.796223,경기,부천시,부천시 오정보건소,경기도 부천시 성오로 172,032-625-8881
230,X,37.480398,126.7994,경기,부천시,부천시 소사보건소,부천시 경인옛로73,032-625-8881~4
231,O,37.498386,126.762852,경기,부천시,순천향대학교 부천병원,경기도 부천시 조마루로 170 (중동),032-621-5114
232,O,37.486994,126.792358,경기,부천시,가톨릭대학교부천성모병원,경기도 부천시 소사로 327,032-340-2402
233,O,37.481054,126.791201,경기,부천시,부천세종병원,경기도 부천시 호현로 489번길 28,"주간) 032-340-1897, 야간) 032-340-1119"
234,O,37.441766,127.17082,경기,성남시,중원구보건소,"경기도 성남시 중원구 금상로 137 (상대원동, 중원구보건소)",031-729-3895
235,O,37.411052,127.124612,경기,성남시,분당구보건소,경기도 성남시 분당구 양현로 306 (야탑동),031-729-4004
236,O,37.38817,127.121726,경기,성남시,분당제생병원,분당구 서현로 180번길 20,031-779-0100
237,O,37.410221,127.125476,경기,성남시,분당차병원 ,분당구 야탑로 59,031-780-5546
238,O,37.444376,127.144125,경기,성남시,수정구보건소,"경기도 성남시 수정구 수정로 218 (신흥동, 수정구보건소)",031-729-3872
239,O,37.444915,127.138886,경기,성남시,성남시의료원,경기도 성남시 수정구 수정로 171번길 10,031-738-7000
240,O,37.439818,127.128991,경기,성남시,순천의료재단정병원,경기도 성남시 수정구 수정로 76,031-750-6000
241,O,37.452838,127.16197,경기,성남시,성남중앙병원,중원구 산성대로 476번길 12,031-799-5366
242,O,37.258718,126.971113,경기,수원시,권선구보건소,경기도 수원시 권선구 호매실로 22-50 (탑동),031-228-6716
